hourTimestamp,MAGMA Melter/Line Utilities/Oxygen Fuel Sum Gas Energy,MAGMA Melter/Properties/Glass Exit Tonnage Total,Energy Consumption Rate
2024-11-05T17:00:00Z,22.91750172,0.002481497,9235.353385
2024-11-05T18:00:00Z,22.98993218,0.002504192,9180.578877
2024-11-05T19:00:00Z,22.97519681,0.0024823,9255.608432
2024-11-05T20:00:00Z,22.59894149,0.002447211,9234.570084
2024-11-05T21:00:00Z,22.35573785,0.00241395,9261.060855
2024-11-05T22:00:00Z,22.44993,0.002433453,9225.544936
2024-11-05T23:00:00Z,22.47637281,0.002439816,9212.322901
2024-11-06T00:00:00Z,22.87609238,0.002492354,9178.508502
2024-11-06T01:00:00Z,23.27760983,0.002537066,9175.011541
2024-11-06T02:00:00Z,23.25945163,0.002522273,9221.623365
2024-11-06T03:00:00Z,22.94596664,0.002463746,9313.446532
2024-11-06T04:00:00Z,23.00955034,0.002489908,9241.124708
2024-11-06T05:00:00Z,22.98121902,0.00247175,9297.549922
2024-11-06T06:00:00Z,22.68424546,0.002449501,9260.761869
2024-11-06T07:00:00Z,22.69432075,0.002445201,9281.167785
2024-11-06T08:00:00Z,22.89289577,0.002497408,9166.662303
2024-11-06T09:00:00Z,23.03793198,0.002513341,9166.257973
2024-11-06T10:00:00Z,22.91843613,0.002469735,9279.714678
2024-11-06T11:00:00Z,22.97137522,0.002494833,9207.580315
2024-11-06T12:00:00Z,22.94359871,0.002495433,9194.235513
2024-11-06T13:00:00Z,23.08373395,0.002505835,9211.992789
2024-11-06T14:00:00Z,23.25414672,0.002514545,9247.85467
2024-11-06T15:00:00Z,23.1779921,0.002499033,9274.784327
2024-11-06T16:00:00Z,22.986966,0.002478068,9276.164334
2024-11-06T17:00:00Z,22.88238312,0.002474614,9246.849456
2024-11-06T18:00:00Z,23.00280135,0.002494795,9220.31724
2024-11-06T19:00:00Z,22.82664119,0.002469218,9244.481933
2024-11-06T20:00:00Z,22.80119248,0.002454014,9291.386471
2024-11-06T21:00:00Z,22.98299755,0.002493061,9218.786684
2024-11-06T22:00:00Z,22.99059972,0.002487225,9243.47404
2024-11-06T23:00:00Z,23.01182291,0.002472328,9307.754841
2024-11-07T00:00:00Z,23.15687506,0.002528172,9159.533078
2024-11-07T01:00:00Z,23.14733172,0.002510287,9220.990158
2024-11-07T02:00:00Z,23.33204288,0.002529854,9222.683554
2024-11-07T03:00:00Z,23.19120038,0.002504729,9258.965892
2024-11-07T04:00:00Z,22.8767256,0.002469405,9264.063853
2024-11-07T05:00:00Z,22.98459243,0.002508565,9162.446431
2024-11-07T06:00:00Z,23.38042837,0.002534839,9223.634468
2024-11-07T07:00:00Z,23.43891862,0.002558453,9161.363769
2024-11-07T08:00:00Z,23.06557429,0.00248403,9285.545782
2024-11-07T09:00:00Z,23.00699543,0.002480165,9276.397107
2024-11-07T10:00:00Z,22.63615079,0.002501223,9050.03304
2024-11-07T11:00:00Z,22.53332147,0.002421152,9306.859491
2024-11-07T12:00:00Z,22.77275886,0.002474484,9203.033384
2024-11-07T13:00:00Z,23.43328096,0.002535536,9241.943699
2024-11-07T14:00:00Z,23.22906765,0.002531702,9175.277205
2024-11-07T15:00:00Z,23.12982002,0.002493529,9275.937846
2024-11-07T16:00:00Z,22.86050602,0.00246693,9266.783419
2024-11-07T17:00:00Z,22.84376863,0.002457997,9293.651957
2024-11-07T18:00:00Z,22.73225236,0.002461761,9234.142697
2024-11-07T19:00:00Z,23.13832556,0.002515178,9199.478351
2024-11-07T20:00:00Z,23.10938813,0.002498138,9250.645132
2024-11-07T21:00:00Z,22.87159414,0.002458667,9302.436702
2024-11-07T22:00:00Z,23.14657834,0.0025227,9175.319436
2024-11-07T23:00:00Z,22.47607422,0.002550435,8812.64342
